image_path,caption
image_0.png,a drawing of a green pokemon with red eyes
image_1.png,a green and yellow toy with a red nose
image_2.png,a red and white ball with an angry look on its face
image_3.png,a cartoon ball with a smile on it's face
image_4.png,a bunch of balls with faces drawn on them
image_5.png,a cartoon character with a potted plant on his head
image_6.png,a drawing of a pokemon stuffed animal
image_7.png,a picture of a cartoon character with a sword
image_8.png,a drawing of a cartoon character doing a kick
image_9.png,a drawing of a girl with a boxing glove
image_10.png,a picture of a pink and yellow pokemon figure
image_11.png,a purple ball with a skull and cross bones on it
image_12.png,a cartoon picture of a green vegetable with eyes
image_13.png,an image of a cartoon character flying through the air
image_14.png,a drawing of a gray and black dragon
image_15.png,a drawing of a gray and yellow pokemon
image_16.png,a pink bird sitting on top of a white surface
image_17.png,a blue and black object with two eyes
image_18.png,a couple of pokemon standing next to each other
image_19.png,a cartoon picture of a bear holding a baseball bat
image_20.png,a drawing of a blue dragon with red eyes
image_21.png,a drawing of a blue and yellow dragon
image_22.png,a drawing of a fish with a horn on it's head
image_23.png,a fish with a horn on it's head
image_24.png,a cartoon butterfly with a sad look on its face
image_25.png,a drawing of a star with a red eye
image_26.png,a drawing of a star with a jewel in the center
image_27.png,a cartoon character with a big smile on his face
image_28.png,a green and white cartoon character with a sword
image_29.png,a drawing of a woman in a red cape
image_30.png,a yellow and black cartoon character with a big smile
image_31.png,a very cute looking pokemon character
image_32.png,a drawing of a cartoon character with wings
image_33.png,an image of a cartoon character flying through the air
image_34.png,a drawing of a bison with horns and horns
image_35.png,a red fish with a gold crown on its head
image_36.png,a drawing of a very cute looking caterpillar
image_37.png,a blue and yellow dragon flying through the air
image_38.png,a blue and white dragon with its mouth open
image_39.png,a drawing of a blue sea turtle holding a rock
image_40.png,a cartoon character with a smile on his face
image_41.png,a very cute looking pokemon with big eyes
image_42.png,a drawing of a blue and yellow dragon
image_43.png,a drawing of a yellow and white pikachu
image_44.png,a very cute looking pokemon with big eyes
image_45.png,an origami dog with a pink and blue body
image_46.png,an image of an animal with big eyes
image_47.png,an image of a cartoon character with a big smile
image_48.png,a drawing of a yellow creature with a black nose
image_49.png,a picture of a mushroom with pink eyes
image_50.png,a drawing of a cartoon character holding a knife
image_51.png,a drawing of a dragon with its mouth open
image_52.png,a drawing of a dragon with its mouth open
image_53.png,a blue and white stuffed animal sitting on top of a white surface
image_54.png,a blue and white bird with its wings spread
image_55.png,a yellow and black pokemon pokemon character
image_56.png,a yellow bird flying through the air
image_57.png,a blue and white bird with a long tail
image_58.png,a blue and white snake with horns on its head
image_59.png,a drawing of a dragon sitting on its hind legs
image_60.png,a yellow and black insect with large wings
image_61.png,a yellow and black bee with a white background
image_62.png,a cartoon character with a pink and white outfit
image_63.png,a drawing of a cat with a pink tail
image_64.png,a cartoon character with a cat like body
image_65.png,a drawing of a pink cat flying through the air
image_66.png,a drawing of a pikachu with a green leaf on its head
image_67.png,a drawing of a yellow and green pokemon
image_68.png,a drawing of a dinosaur in a dress
image_69.png,a cartoon bird with a hat on its head
image_70.png,a very cute looking pokemon sitting on top of a rock
image_71.png,a cartoon character with a fire on his back
image_72.png,a drawing of a cartoon dinosaur with its mouth open
image_73.png,a drawing of a blue and yellow pokemon
image_74.png,a drawing of a bird with its mouth open
image_75.png,a drawing of a blue and yellow pokemon
image_76.png,a brown and black animal with a white background
image_77.png,a very cute looking animal with big eyes
image_78.png,a cartoon character with big eyes and a big nose
image_79.png,a drawing of an owl with a crown on its head
image_80.png,a very cute looking cartoon character with big eyes
image_81.png,a red and yellow insect flying through the air
image_82.png,a green and yellow spider with its tongue out
image_83.png,a drawing of a red and yellow insect
image_84.png,a purple and blue dragon flying through the air
image_85.png,a cartoon bird with a bandanna on its head
image_86.png,a drawing of a blue fish with yellow eyes
image_87.png,a cartoon blue fish with a yellow fin
image_88.png,a cartoon pikachu with big eyes and big ears
image_89.png,a pink cat with brown ears sitting down
image_90.png,a pink cartoon character with big eyes
image_91.png,a drawing of a pokemon pikachu in a bowl
image_92.png,a white pokemon with a red and blue tail
image_93.png,a green bird with a red tail and a black nose
image_94.png,a cartoon bird with a scarf around its neck
image_95.png,a drawing of a sheep with a bell on its head
image_96.png,a colorful bird flying through the air
image_97.png,a bird with a long beak flying through the air
image_98.png,a cartoon sheep is kicking a soccer ball
image_99.png,a yellow and white pokemon pokemon character
image_100.png,a yellow and white cartoon character with a red eye
image_101.png,a drawing of a little girl with a flower in her hair
image_102.png,a blue cartoon character with a red nose and ears
image_103.png,a blue and white cartoon character running
image_104.png,a drawing of a cartoon character holding two green balls
image_105.png,a green and yellow cartoon character
image_106.png,a pink pokemon ball with a green leaf on top of it
image_107.png,a green turtle with a yellow flower on its head
image_108.png,a cartoon character sitting on top of a blue ball
image_109.png,a drawing of a purple cat with its mouth open
image_110.png,a cartoon monkey flying with a bone in its mouth
image_111.png,a drawing of a plant with leaves on it
image_112.png,a cartoon sunflower with a happy face
image_113.png,a green and orange insect with large eyes
image_114.png,a very cute looking cartoon character with big eyes
image_115.png,a blue cartoon character sitting on the ground
image_116.png,a drawing of a pink cat with blue eyes
image_117.png,a black and yellow pokemon type animal
image_118.png,a cartoon bird with a hat on its head
image_119.png,a cartoon character with a crown on his head
image_120.png,a drawing of a blue and green dinosaur with a pink flower on its back
image_121.png,a cartoon rat with its mouth open and it's mouth wide open
image_122.png,a drawing of a blue dragon with yellow eyes
image_123.png,a cartoon character with a magnifying glass
image_124.png,a blue cartoon character with its mouth open
image_125.png,a cartoon giraffe with a ball in its mouth
image_126.png,a very cute looking cartoon character with big eyes
image_127.png,a white ball with red glasses on top of it
image_128.png,a yellow and blue toy flying through the air
image_129.png,a pink cartoon character with a blue tail
image_130.png,a drawing of a robot like creature with blue eyes
image_131.png,a drawing of a gray and white dragon
image_132.png,a pink and black cartoon character flying through the air
image_133.png,a very cute looking bird with big wings
image_134.png,a pink dog with its mouth open and tongue out
image_135.png,a very cute looking cartoon character with big eyes
image_136.png,a drawing of a red and black robot with wings
image_137.png,a red cartoon character is flying through the air
image_138.png,a cartoon turtle sitting on top of a red ball
image_139.png,a cartoon elephant with a backpack on it's back
image_140.png,a very cute looking cartoon character with big eyes
image_141.png,a drawing of a blue and red pokemon character
image_142.png,a brown teddy bear holding a white object
image_143.png,a cartoon bear with a ring around its neck
image_144.png,a drawing of a red creature with yellow eyes
image_145.png,a cartoon of a red monster with a flame coming out of it's mouth
image_146.png,a bird with a long beak flying through the air
image_147.png,a drawing of a small animal with a pink nose
image_148.png,a brown and white animal with a pink nose
image_149.png,a drawing of a pink pokemon ball floating in the air
image_150.png,a drawing of a blue and white fish
image_151.png,a red cartoon character laying on the ground
image_152.png,a red and white bird with a yellow beak
image_153.png,a drawing of a shark with a fish in it's mouth
image_154.png,a drawing of a white and red dragon
image_155.png,a cartoon dog is standing in a pose
image_156.png,a drawing of a black and white animal with horns
image_157.png,a cartoon picture of a devil with horns and legs
image_158.png,a purple snake sitting on top of a white background
image_159.png,a blue sea horse with a yellow tail
image_160.png,a cartoon elephant with a red nose and orange ears
image_161.png,a picture of a cartoon character with a hat on
image_162.png,a pink and blue bird with big eyes
